Unnamed: 0,candidate_id,womens_rights_count,womens_rights_average_favorites,womens_rights_sum_favorites,womens_rights_average_retweets,womens_rights_sum_retweets,familycare_count,familycare_average_favorites,familycare_sum_favorites,familycare_average_retweets,familycare_sum_retweets,education_count,education_average_favorites,education_sum_favorites,education_average_retweets,education_sum_retweets,healthcare_count,healthcare_average_favorites,healthcare_sum_favorites,healthcare_average_retweets,healthcare_sum_retweets,military_count,military_average_favorites,military_sum_favorites,military_average_retweets,military_sum_retweets,economics_count,economics_average_favorites,economics_sum_favorites,economics_average_retweets,economics_sum_retweets,foreign_affairs_count,foreign_affairs_average_favorites,foreign_affairs_sum_favorites,foreign_affairs_average_retweets,foreign_affairs_sum_retweets,policing_count,policing_average_favorites,policing_sum_favorites,policing_average_retweets,policing_sum_retweets,covid_count,covid_average_favorites,covid_sum_favorites,covid_average_retweets,covid_sum_retweets,total_candidate_favorites,total_candidate_retweets,mean_candidate_favorites,mean_candidate_retweets,total_tweets,party,gender,masculine_count,feminine_count,masculine_total_engagement,feminine_total_engagement,masculine_average_engagement,feminine_average_engagement
487,1329,0,0.0,0,0.0,0,3,105.66666670000001,317,17.0,51,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,4,93.0,372,26.0,104,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,14073,3768,234.55,62.8,60,Republican Party,Male,4,3,476,368,119.0,122.66666670000001
488,1339,2,61.0,122,1.0,2,0,0.0,0,0.0,0,1,6.0,6,0.0,0,0,0.0,0,0.0,0,2,55.0,110,8.0,16,1,10.0,10,2.0,2,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,31872,5580,259.1219512,45.36585366,123,Campaign website,Female,3,3,138,130,46.0,43.33333333
489,1340,3,39.33333333,118,8.666666667000001,26,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,3,7.0,21,4.333333333,13,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,10216,3313,85.13333333,27.60833333,120,Democratic Party,Male,3,3,34,144,11.33333333,48.0
490,1342,0,0.0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0,2.0,2,3,4.333333333,13,1.6666666669999999,5,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,68,30,3.4,1.5,20,Working Families Party,Male,0,4,0,20,,5.0
491,1343,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,1,112.0,112,86.0,86,0,0.0,0,0.0,0,3,43.0,129,17.33333333,52,0,0.0,0,0.0,0,1116,710,46.5,29.58333333,24,Republican Party,Male,4,0,379,0,94.75,
492,1350,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,1,15.0,15,10.0,10,2,12.5,25,5.5,11,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,817,382,17.76086957,8.304347826,46,Republican Party,Female,3,0,61,0,20.33333333,
493,1357,1,5.0,5,0.0,0,4,75.5,302,12.5,50,1,10.0,10,2.0,2,0,0.0,0,0.0,0,3,41.66666667,125,8.0,24,1,8.0,8,1.0,1,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,3915,1255,58.43283582,18.73134328,67,Democratic Party,Female,4,6,158,369,39.5,61.5
494,1358,1,5.0,5,0.0,0,4,75.5,302,12.5,50,1,10.0,10,2.0,2,0,0.0,0,0.0,0,3,41.66666667,125,8.0,24,1,8.0,8,1.0,1,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,3915,1255,58.43283582,18.73134328,67,Democratic Party,Female,4,6,158,369,39.5,61.5
495,1359,2,83.0,166,29.0,58,2,3.5,7,0.5,1,2,9.5,19,1.5,3,1,49.0,49,26.0,26,0,0.0,0,0.0,0,1,15.0,15,9.0,9,1,12.0,12,11.0,11,0,0.0,0,0.0,0,0,0.0,0,0.0,0,2250,877,24.45652174,9.532608696,92,Democratic Party,Male,2,7,47,329,23.5,47.0
496,1360,0,0.0,0,0.0,0,0,0.0,0,0.0,0,1,5.0,5,1.0,1,0,0.0,0,0.0,0,0,0.0,0,0.0,0,1,6.0,6,1.0,1,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,1434,388,62.34782609,16.86956522,23,Campaign website,Female,1,1,7,6,7.0,6.0
